Track_Name,Track_ID,Added_On,Release_Date,Artists,Popularity,Duration,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Share That Love (feat. G-Eazy),44l9nnCVvOQBbWG6tDViKl,2021-07-11T11:51:47Z,2020-08-21,"Lukas Graham,G-Eazy",70,172398,0.715,0.658,11,-4.304,0,0.106,0.162,0.0,0.0742,0.795,158.024
End of Time,67O8CWXxPsfz8orZVGMQwf,2021-06-28T15:24:05Z,2020-03-06,"K-391,Alan Walker,Ahrix",70,187560,0.81,0.7,4,-5.664,0,0.0399,0.267,6.69e-05,0.137,0.193,116.019
Maine Tere Liye,5VP6rxxsMlotzqe8dK5Vt7,2021-06-18T15:29:38Z,1971-05-03,Salil Chowdhury,42,186493,0.596,0.66,3,-6.083,1,0.0309,0.85,0.000424,0.371,0.894,126.197
Grip,0UazJzfJFyh8904WFxFkr6,2021-06-15T16:03:20Z,2021-01-29,Seeb,52,198074,0.598,0.904,4,-2.293,1,0.0508,0.331,0.0,0.264,0.503,138.091
Zindagi Ke Safar Mein,7ofX3S0t8JkDq7ht1BoofL,2021-06-11T19:51:56Z,1974-04-17,R. D. Burman,46,398773,0.323,0.572,2,-11.009,1,0.0368,0.798,2.17e-05,0.562,0.536,87.682
Kehna Hai Kehna Hai,1KxcQHJf7HC57jomPJ19Qj,2021-06-11T19:24:02Z,1968-01-01,R. D. Burman,37,221080,0.374,0.345,4,-11.149,1,0.0427,0.934,2.78e-06,0.374,0.778,143.277
Neele Neele Ambar Par - Male Version,02zPo0Dt0R4TTFY5zLJZnK,2021-06-11T19:23:56Z,1983-06-10,Kalyanji-Anandji,56,320000,0.562,0.696,0,-7.612,1,0.0397,0.628,0.0,0.172,0.722,93.801
Somebody I'm Not,60dLzTKOP5Q37wThC9VVjB,2021-05-20T17:46:32Z,2018-11-16,"Martin Jensen,Bjørnskov",55,167726,0.718,0.725,9,-5.409,1,0.0519,0.153,0.0,0.32,0.65,100.044
Smoke Filled Room,0cJ4aP0NxGB7QEZeOfdZC1,2021-05-19T16:10:33Z,2016-12-09,Mako,52,194468,0.577,0.724,11,-4.657,1,0.0671,0.0229,0.0,0.0927,0.397,127.948
Talking Body,7cgu4JBW3hq1GwTM1ilkKQ,2021-03-29T10:58:21Z,2014-09-24,Tove Lo,67,238426,0.736,0.761,4,-5.449,0,0.0338,0.0966,0.0,0.0823,0.114,119.999
Untouchable,05dL7chWJaVjMJnGO1YCKk,2021-02-24T15:20:34Z,2015-05-18,"Tritonal,Cash Cash",52,228837,0.542,0.795,7,-3.131,1,0.0379,0.0664,2.89e-06,0.313,0.251,128.959
Lost Control,0lG6QM1jjbbX5UUn3DPmrZ,2021-01-29T06:37:33Z,2018-12-14,Alan Walker,65,222320,0.736,0.555,4,-4.689,1,0.0757,0.0345,0.000157,0.0798,0.323,91.997
Safe With Me (with Audrey Mika),6Skh3CBum0pZw9TOr7FQnX,2021-01-19T11:04:13Z,2020-11-19,"Gryffin,Audrey Mika",74,205164,0.497,0.757,11,-4.189,1,0.127,0.0449,0.0,0.119,0.507,169.902
Tie Me Down (with Elley Duhé),2zh01m4PiHaZz4BAm0NRxs,2020-12-29T15:14:05Z,2019-10-24,Gryffin,67,218239,0.608,0.845,6,-2.292,1,0.0597,0.136,0.0,0.111,0.322,98.976
Hold Me Close (feat. Ella Henderson),24aN8j7dBw0FxxKUBlCtd6,2020-12-21T15:13:56Z,2020-03-27,"Sam Feldt,Ella Henderson",67,185750,0.654,0.795,0,-4.419,1,0.0536,0.178,0.0,0.19,0.465,120.019
Paradise,6N6BTxTwykM2YI06SeL1ap,2020-11-22T08:49:27Z,2018-09-28,"Nicky Romero,Deniz Koyu,Walk Off the Earth",52,215336,0.623,0.681,7,-3.49,1,0.0268,0.139,0.0,0.0946,0.453,121.98
Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,2020-06-26T17:47:51Z,2020-05-01,"Marshmello,Halsey",81,172761,0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.995
I'll Wait,6Q3K9gVUZRMZqZKrXovbM2,2020-06-23T10:01:58Z,2020-04-03,"Kygo,Sasha Sloan",71,215360,0.611,0.651,1,-6.973,1,0.0587,0.148,1.84e-05,0.105,0.357,122.983
Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,2020-06-20T05:03:36Z,2019-05-24,Sam Feldt,74,174444,0.59,0.642,7,-3.87,1,0.122,0.0771,0.0,0.105,0.651,107.356
Hold On & Believe (feat. The Federal Empire),3tka6vtNbu9C2xsbthEkNG,2020-06-14T04:54:06Z,2016-10-28,Martin Garrix,47,234389,0.552,0.759,4,-4.946,1,0.0389,0.0355,6.67e-05,0.099,0.41,128.08
Waves,0BfVKJALJjpzNYIQiEgF2G,2020-03-19T15:42:49Z,2016-09-30,Dean Lewis,58,241292,0.517,0.762,11,-5.806,0,0.0454,0.161,0.0,0.0897,0.351,156.928
Personal,1lO6CyBlsZcC83dGc8qEit,2020-03-07T04:54:57Z,2018-07-13,The Vamps,51,193293,0.755,0.662,0,-4.523,1,0.0507,0.066,0.0,0.1,0.488,100.06
Blinding Lights,0sf12qNH5qcw8qpgymFOqD,2020-03-07T04:48:25Z,2019-11-29,The Weeknd,23,201573,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017
Wildest Dream,3SWT9eHwRgEnVTzqE6yDiA,2020-03-05T10:58:05Z,2019-03-15,"Thomas Gold,Kosling",55,187510,0.545,0.839,1,-4.24,1,0.0468,0.0223,0.0,0.0714,0.276,127.987
Are You With Me - Radio Edit,2glGP8kEfACgJdZ86kWxhN,2020-02-19T17:45:50Z,2016-10-21,Lost Frequencies,66,138013,0.763,0.608,5,-8.1,0,0.035,0.262,2.5e-05,0.12,0.393,121.02
Stole the Show,5masKPHeAOVNgxdLebIcK7,2020-02-08T18:54:08Z,2016-05-13,Kygo,74,223186,0.64,0.635,8,-7.565,0,0.226,0.271,0.0,0.319,0.475,100.034
Señorita,6v3KW9xbzN5yKLt9YKDYA2,2019-12-20T08:25:55Z,2019-06-19,Shawn Mendes,79,190799,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967
Strongest (Alan Walker Remix),2r9hCNjupNy2C2g3r6SNz6,2019-12-20T08:13:15Z,2017-12-01,Ina Wroldsen,66,210285,0.722,0.787,0,-4.013,1,0.0734,0.0785,6.46e-06,0.124,0.852,92.022
Diamond Heart,0nrWZWkJM62ftQJSI8fDc0,2019-12-20T08:10:04Z,2018-12-14,Alan Walker,64,240333,0.478,0.633,0,-6.19,1,0.0345,0.123,0.0,0.41,0.287,89.909
The Spectre,2DGa7iaidT5s0qnINlwMjJ,2019-12-20T08:09:59Z,2017-09-15,Alan Walker,71,193787,0.654,0.711,1,-7.437,0,0.0383,0.0214,0.00191,0.0903,0.198,127.957
Something New,5C4NMi4fPpdFPnMZVsyG8H,2019-12-20T08:07:13Z,2017-07-28,"Axwell /\ Ingrosso,Axwell,Sebastian Ingrosso",60,247146,0.577,0.851,11,-3.975,1,0.0339,0.0197,0.000462,0.118,0.396,129.952
Dilnawaz,2KDR0VRWbQ88LQ1cdi8T3z,2019-12-20T08:05:07Z,2018-01-29,The Local Train,46,207530,0.501,0.568,4,-7.968,0,0.0331,0.217,1.64e-05,0.094,0.236,88.904
Better Now,7dt6x5M1jzdTEt8oCbisTK,2019-12-20T08:01:29Z,2018-04-27,Post Malone,82,231266,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038
River (feat. Ed Sheeran),1cS0TgbR263ey9jn0MwD2s,2019-12-20T07:59:29Z,2017-12-15,Eminem,73,221013,0.748,0.749,8,-5.916,0,0.516,0.142,0.0,0.0713,0.659,90.09
City Of Dreams - Radio Edit,54ZPmGE1uOG9IYoUBSRSp7,2019-10-24T20:22:25Z,2013-01-01,"Dirty South,Alesso",59,226866,0.478,0.818,4,-5.076,1,0.0377,0.00292,0.00789,0.438,0.163,127.953
How Many,64BbRFQBFPpSKhmCZ5w7K1,2019-10-24T20:19:10Z,2016-04-03,W&W,46,168250,0.554,0.884,4,-3.548,0,0.108,0.04,0.000225,0.132,0.229,128.036
Lush Life,1rIKgCH4H52lrvDcz50hS8,2019-09-11T07:00:28Z,2017-03-17,Zara Larsson,77,201122,0.694,0.712,7,-3.923,0,0.046,0.132,0.0,0.211,0.799,98.023
Not Ok,6aoGtdWXBkYQ2O2wnyIz2x,2019-08-16T17:41:19Z,2019-05-23,"Kygo,Chelsea Cutler",62,210943,0.618,0.66,11,-8.14,0,0.0372,0.0292,2.07e-06,0.325,0.408,105.0
Closing Time,1wKWgSrVgaSyxJARfld0Yu,2019-08-04T12:32:42Z,2015-12-18,Various Artists,49,273546,0.482,0.86,7,-5.423,1,0.0283,0.0225,1.32e-06,0.124,0.251,92.24
Yaaron,5WXezeBcPemshsXjMCyi9b,2019-07-29T15:37:37Z,2017-02-16,"Ankur Tewari,The Ghalat Family",37,252813,0.691,0.674,6,-5.771,0,0.033,0.218,0.0,0.114,0.635,102.033
Getaway - VIP Mix,7p4zGB2Xj1hs7eoJU79YrV,2019-07-09T17:08:00Z,2019-01-18,Syn Cole,0,189677,0.71,0.842,6,-3.156,1,0.0428,0.0127,0.0,0.155,0.761,124.119
Out Of This Town,5iFCdVNg0X6ElfYAsd7RiE,2019-07-08T17:48:16Z,2018-10-05,"Hardwell,VINAI,Cam Meekins",58,195200,0.553,0.902,5,-3.444,0,0.0703,0.00871,0.000171,0.355,0.633,149.987
Happy Kids,3nVJ4tGeLFR6HUiz3e7qAe,2019-06-30T11:01:56Z,2018-11-09,John De Sohn,57,177209,0.603,0.649,11,-5.848,1,0.0476,0.0105,0.0,0.243,0.672,124.073
God Damnit (with Call Me Karizma),2wm6DCnWcWwfsIl0LvWYZ8,2019-06-30T10:46:44Z,2018-11-09,"ILLENIUM,Call Me Karizma",54,215874,0.68,0.618,7,-5.469,1,0.0977,0.293,0.0,0.252,0.366,96.111
